Year,Title,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
2002,Treasure_Planet.txt,0.0026507620941020500,6.62690523525514E-04,0.5076209410205430,6.62690523525514E-04,0.0921139827700464,0.04837640821736250,0.032471835652750200,0.1756129887342610,0.008614976805831680,0.0026507620941020500,0.07422133863485750,0.026507620941020500,6.62690523525514E-04,0.024519549370444000,0.0026507620941020500
2003,Brother_Bear.txt,0.011415525114155300,0.001141552511415530,0.0045662100456621,0.0045662100456621,0.15525114155251100,0.001141552511415530,0.0045662100456621,0.17922374429223700,0.4429223744292240,0.007990867579908680,0.08333333333333330,0.011415525114155300,0.02511415525114160,0.042237442922374400,0.02511415525114160
2004,Home_on_the_Range.txt,6.48508430609598E-04,0.014267185473411200,0.008430609597924770,0.45201037613489000,0.06679636835278860,0.027885862516212700,0.004539559014267190,0.19325551232166000,0.057068741893644600,0.03761348897535670,0.029831387808041500,0.01621271076524000,0.01621271076524000,0.06874189364461740,0.00648508430609598
2005,Chicken_Little.txt,0.014996591683708200,0.008861622358554870,0.004771642808452630,0.037491479209270600,0.1438309475119290,0.07430129516019090,0.023176550783912700,0.10497614178595800,0.09679618268575320,6.81663258350375E-04,0.3483299250170420,0.014996591683708200,0.027266530334015000,0.09066121336059990,0.008861622358554870
2007,Lilo_&_Stitch.txt,0.005061460592913960,0.01373825018076650,7.23065798987708E-04,0.009399855386840200,0.10918293564714400,0.011569052783803300,0.05929139551699200,0.20679681851048400,0.07664497469269700,0.3868402024584240,0.04410701373825020,7.23065798987708E-04,7.23065798987708E-04,0.07447577729573390,7.23065798987708E-04
2007,Meet_the_Robinsons.txt,0.02353585112205800,0.030103995621237000,0.010399562123700100,0.031746031746031700,0.06458675424192670,0.025177887246852800,0.00875752599890531,0.10071154898741100,0.0071154898741105600,0.015325670498084300,0.6327312534209090,5.47345374931582E-04,0.02353585112205800,0.018609742747673800,0.0071154898741105600
2008,Bolt.txt,0.040731504571903600,0.01828761429758940,0.013300083125519500,8.31255195344971E-04,0.38487115544472200,0.045719035743973400,0.023275145469659200,0.15544472152951000,0.030756442227763900,8.31255195344971E-04,0.09808811305070660,0.0257689110556941,0.04821280133000830,0.10806317539484600,0.005818786367414800
2009,The_Princess_and_the_Frog.txt,0.003651538862806470,0.05685967657798640,5.21648408972353E-04,0.05059989567031820,0.07720396452790820,0.023995826812728200,5.21648408972353E-04,0.1664058424621810,0.020865936358894100,5.21648408972353E-04,0.006781429316640580,0.01773604590506000,0.07250912884715700,0.019300991131977000,0.48252477829942600
2010,Tangled.txt,0.003152088258471240,0.5279747832939320,7.88022064617809E-04,0.0338849487785658,0.12135539795114300,0.02442868400315210,0.019700551615445200,0.13317572892041000,0.007880220646178090,0.01024428684003150,0.007880220646178090,7.88022064617809E-04,0.031520882584712400,0.04097714736012610,0.03624901497241920
2011,Winnie_the_Pooh.txt,0.03734827264239030,0.02054154995331470,0.0037348272642390300,0.054154995331465900,0.07376283846872080,0.5779645191409900,9.33706816059757E-04,0.12418300653594800,0.009337068160597570,9.33706816059757E-04,0.02054154995331470,0.006535947712418300,0.028944911297852500,0.040149393090569600,9.33706816059757E-04
2012,Wreck-It_Ralph.txt,0.5904416212946160,0.018753781004234700,0.00967937084089534,0.004234724742891710,0.049606775559588600,6.04960677555959E-04,0.04053236539624920,0.1203871748336360,0.01693889897156690,0.02964307320024200,0.01693889897156690,6.04960677555959E-04,6.04960677555959E-04,0.055051421657592300,0.04597701149425290
2013,Frozen.txt,0.03624901497241920,7.88022064617809E-04,7.88022064617809E-04,0.003152088258471240,0.36721828211189900,0.02442868400315210,0.003152088258471240,0.12371946414499600,0.02442868400315210,7.88022064617809E-04,0.005516154452324670,0.04806934594168640,7.88022064617809E-04,0.017336485421591800,0.34357762017336500
2014,Big_Hero_6.txt,7.26216412490922E-04,0.03340595497458240,0.00944081336238199,0.005083514887436460,0.07915758896151050,0.03994190268700070,0.05954974582425560,0.05954974582425560,0.07262164124909220,0.002904865649963690,0.5737109658678290,0.03122730573710970,0.026870007262164100,7.26216412490922E-04,0.005083514887436460
2016,Moana.txt,7.97448165869219E-04,0.03668261562998410,0.02711323763955340,7.97448165869219E-04,0.10606060606060600,0.005582137161084530,7.97448165869219E-04,0.07256778309409890,0.6515151515151520,0.007974481658692190,7.97448165869219E-04,7.97448165869219E-04,0.003189792663476870,0.005582137161084530,0.07974481658692190
2016,Zootopia.txt,0.017250126839167900,0.008117706747843730,5.07356671740233E-04,0.038559107052257700,0.11770674784373400,0.0020294266869609300,0.5849822425164890,0.09639776763064440,0.0020294266869609300,5.07356671740233E-04,0.033992897006595600,0.027904616945712800,0.038559107052257700,0.018772196854388600,0.012683916793505800
2018,Ralph_Breaks_the_Internet.txt,0.5279965004374450,0.029308836395450600,0.006999125109361330,0.043744531933508300,0.0673665791776028,0.014873140857392800,0.02405949256342960,0.10673665791776000,0.05030621172353460,4.37445319335083E-04,0.030621172353455800,0.031933508311461100,0.026684164479440100,0.018810148731408600,0.020122484689413800
2019,Frozen_II.txt,0.027529761904761900,0.023065476190476200,0.014136904761904800,0.007440476190476190,0.47842261904761900,0.09226190476190480,0.005208333333333330,0.08110119047619050,0.05654761904761910,7.44047619047619E-04,0.007440476190476190,0.002976190476190480,0.025297619047619000,0.03645833333333330,0.14136904761904800
2021,Raya_and_the_Last_Dragon.txt,0.01906941266209000,0.007627765064836000,0.028222730739893200,0.012204424103737600,0.19755911517925200,0.007627765064836000,0.012204424103737600,0.060259344012204400,0.07856598016781080,0.009916094584286800,0.03966437833714720,0.005339435545385200,0.007627765064836000,0.007627765064836000,0.5064836003051110
